gene_name	gene_id	spot_id	x	y	z	plane_id	neighbour	neighbour_array	neighbour_prob	omp_score
Cdh9	42	1309	109.175	33.435	58.51245880126953	58	11	[11, 4, 10, 3, 12, 5, 0]	[0.516, 0.404, 0.041, 0.038, 0.0, 0.0, 0.0]	4.0
Chrm1	45	1310	130.602	13.77	40.393245697021484	40	4	[4, 5, 11, 3, 12, 0, 10]	[0.998, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0]	4.0
Chrm1	45	1311	131.923	4.823	69.6408462524414	69	4	[4, 5, 3, 11, 12, 0, 10]	[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	4.0
Chrm2	46	1312	124.558	1.968	86.52403259277344	86	4	[4, 3, 5, 0, 11, 10, 12]	[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	4.0
Cnr1	50	1313	145.206	66.482	50.166316986083984	50	12	[12, 11, 19, 18, 5, 13, 0]	[0.512, 0.48, 0.007, 0.0, 0.0, 0.0, 0.0]	4.0
Cnr1	50	1314	118.921	5.951	66.74502563476562	66	4	[4, 3, 5, 11, 10, 0, 12]	[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	4.0
Cnr1	50	1315	112.309	19.308	97.95893096923828	97	4	[4, 3, 10, 11, 0, 5, 2]	[0.849, 0.151, 0.0, 0.0, 0.0, 0.0, 0.0]	4.0
Cnr1	50	1316	107.107	42.289	36.759029388427734	36	11	[11, 10, 4, 3, 17, 18, 0]	[0.999, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0]	4.0
Cnr1	50	1317	100.085	36.155	79.40465545654297	79	3	[3, 10, 4, 11, 9, 2, 0]	[0.936, 0.059, 0.005, 0.0, 0.0, 0.0, 0.0]	4.0
Cnr1	50	1318	105.801	54.857	32.92924118041992	32	11	[11, 17, 10, 18, 4, 3, 0]	[0.998, 0.001, 0.001, 0.0, 0.0, 0.0, 0.0]	4.0
Cnr1	50	1319	156.303	9.587	66.3514175415039	66	5	[5, 4, 6, 12, 11, 0, 13]	[0.958, 0.042, 0.0, 0.0, 0.0, 0.0, 0.0]	4.0
Cnr1	50	1320	126.48	17.257	76.84197235107422	76	4	[4, 3, 5, 11, 10, 12, 0]	[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	4.0
Cnr1	50	1321	131.137	39.017	103.73145294189453	103	4	[4, 11, 3, 10, 12, 5, 0]	[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	4.0
Cnr1	50	1322	130.117	29.984	54.1154670715332	54	4	[4, 11, 5, 12, 3, 10, 0]	[0.986, 0.014, 0.0, 0.0, 0.0, 0.0, 0.0]	4.0
Cnr1	50	1323	131.228	26.344	34.607120513916016	34	4	[4, 11, 5, 12, 3, 10, 0]	[0.685, 0.315, 0.0, 0.0, 0.0, 0.0, 0.0]	4.0
Cnr1	50	1324	154.612	4.943	70.45391845703125	70	5	[5, 4, 6, 12, 11, 0, 3]	[0.766, 0.234, 0.0, 0.0, 0.0, 0.0, 0.0]	4.0
Cnr1	50	1325	130.063	16.128	68.98359680175781	68	4	[4, 5, 3, 11, 12, 10, 0]	[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	4.0
Cnr1	50	1326	142.105	14.198	47.50391387939453	47	4	[4, 5, 11, 12, 3, 6, 0]	[0.954, 0.046, 0.0, 0.0, 0.0, 0.0, 0.0]	4.0
Cnr1	50	1327	104.458	19.649	64.06727600097656	64	3	[3, 4, 10, 11, 2, 5, 0]	[0.745, 0.255, 0.0, 0.0, 0.0, 0.0, 0.0]	4.0
